"order_id","order_date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","quantity","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","b2b"
"171-9198151-1101146","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3781","JNE3781-KR-XXXL","kurta","3XL","B09K3WFS32","Shipped",1,"INR",406,"BENGALURU","KARNATAKA","560085.0","IN",FALSE
"404-0687676-7273146","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3371","JNE3371-KR-XL","kurta","XL","B07WV4JV4D","Shipped",1,"INR",329,"NAVI MUMBAI","MAHARASHTRA","410210.0","IN",TRUE
"407-1069790-7240320","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3671","JNE3671-TU-XXXL","Top","3XL","B098714BZP","Shipped",1,"INR",574,"CHENNAI","TAMIL NADU","600073.0","IN",FALSE
"404-1490984-4578765","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","SET264","SET264-KR-NP-XL","Set","XL","B08YN7XDSG","Shipped",1,"INR",824,"GHAZIABAD","UTTAR PRADESH","201102.0","IN",FALSE
"408-5748499-6859555","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","J0095","J0095-SET-L","Set","L","B08CMHNWBN","Shipped",1,"INR",653,"CHANDIGARH","CHANDIGARH","160036.0","IN",FALSE
"406-7807733-3785945","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3405","JNE3405-KR-S","kurta","S","B081WX4G4Q","Shipped",1,"INR",399,"HYDERABAD","TELANGANA","500032.0","IN",FALSE
"402-4393761-0311520","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3461","JNE3461-KR-XXL","kurta","XXL","B08B3XF5MH","Shipped",1,"INR",363,"Chennai","TAMIL NADU","600041.0","IN",FALSE
"407-5633625-6970741","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3160","JNE3160-KR-G-S","kurta","S","B07K3YQLF1","Shipped",1,"INR",685,"CHENNAI","TAMIL NADU","600073.0","IN",FALSE
"171-4638481-6326716","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3500","JNE3500-KR-XS","kurta","XS","B098117DJ3","Shipped",1,"INR",364,"NOIDA","UTTAR PRADESH","201303.0","IN",FALSE
"405-5513694-8146768","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3405","JNE3405-KR-XS","kurta","XS","B081XCMYXJ","Shipped",1,"INR",399,"Amravati.","MAHARASHTRA","444606.0","IN",FALSE
"408-7955685-3083534","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","SET182","SET182-KR-DH-XS","Set","XS","B085HS947T","Shipped",1,"INR",657,"MUMBAI","MAHARASHTRA","400053.0","IN",FALSE
"408-1298370-1920302","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0351","J0351-SET-L","Set","L","B09CSSQY4F","Shipped",1,"INR",771,"MUMBAI","MAHARASHTRA","400053.0","IN",FALSE
"403-4965581-9520319","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","PJNE3368","PJNE3368-KR-6XL","kurta","6XL","B09PY99SVJ","Shipped",1,"INR",544,"GUNTAKAL","ANDHRA PRADESH","515801.0","IN",FALSE
"406-9379318-6555504","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3721","JNE3721-KR-XXL","kurta","XXL","B099FCT65D","Shipped",1,"INR",329,"JAIPUR","RAJASTHAN","302020.0","IN",FALSE
"405-9013803-8009918","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3405","JNE3405-KR-XL","kurta","XL","B081WT6GG7","Shipped",1,"INR",399,"NEW DELHI","DELHI","110074.0","IN",FALSE
"402-4030358-5835511","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3697","JNE3697-KR-XXL","kurta","XXL","B098133PV5","Shipped",1,"INR",458,"Gurgaon","HARYANA","122004.0","IN",FALSE
"405-5957858-1051546","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","SET254","SET254-KR-NP-XS","Set","XS","B0983DDPL6","Shipped",1,"INR",886,"BENGALURU","KARNATAKA","560017.0","IN",FALSE
"405-0607769-0716360","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3795","JNE3795-KR-XXXL","kurta","3XL","B09HMXJVFS","Shipped",1,"INR",517,"TIRUCHIRAPPALLI","TAMIL NADU","620018.0","IN",FALSE
"404-8494550-5860325","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","SET345","SET345-KR-NP-M","Set","M","B09KXV4BN8","Shipped",1,"INR",666,"BENGALURU","KARNATAKA","560040.0","IN",FALSE
"171-1305077-2813934","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3373","JNE3373-KR-L","kurta","L","B082W7GVH7","Shipped",1,"INR",376,"HYDERABAD","TELANGANA","500072.0","IN",FALSE
"402-3384087-4005164","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","MEN5002","MEN5002-KR-L","kurta","L","B08YYYDN9R","Shipped",1,"INR",499,"TEZPUR","ASSAM","784001.0","IN",FALSE
"405-8191138-5176316","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","NW030","NW030-TP-PJ-XS","Set","XS","B09G2RQSRZ","Shipped",1,"INR",582,"RANCHI","JHARKHAND","834002.0","IN",FALSE
"403-9230474-9657916","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3415","JNE3415-KR-XXXL","kurta","3XL","B082W8JXJ9","Shipped",1,"INR",299,"BILASPUR","CHHATTISGARH","495001.0","IN",FALSE
"408-3484251-6901959","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","PJNE2199","PJNE2199-KR-N-4XL","kurta","4XL","B09LD2W9XL","Shipped",1,"INR",459,"PUNE","MAHARASHTRA","411052.0","IN",FALSE
"405-7755803-4729935","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3567","JNE3567-KR-M","kurta","M","B08KRXV1QR","Shipped",1,"INR",399,"BENGALURU","KARNATAKA","560037.0","IN",FALSE
"171-9040274-9291563","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","J0341","J0341-DR-S","Western Dress","S","B099NR7612","Shipped",1,"INR",791,"THIRUVARUR","TAMIL NADU","613704.0","IN",FALSE
"403-7056319-0979561","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","MEN5009","MEN5009-KR-XL","kurta","XL","B08YYTCPYX","Shipped",1,"INR",499,"LUCKNOW","UTTAR PRADESH","226010.0","IN",FALSE
"404-9632124-1107550","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0011","J0011-LCD-M","Set","M","B08B3YNJG5","Shipped",1,"INR",1233,"VISAKHAPATNAM","ANDHRA PRADESH","530016.0","IN",FALSE
"402-1465437-0579556","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3766","JNE3766-KR-M","kurta","M","B09K3XR43V","Shipped",1,"INR",517,"JEYPUR","ODISHA","764001.0","IN",FALSE
"404-7774085-3780319","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3373","JNE3373-KR-XL","kurta","XL","B082W8BXW1","Shipped",1,"INR",376,"HYDERABAD","TELANGANA","500028.0","IN",FALSE
"402-2764952-1492318","2022-04-30","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","MEN5001","MEN5001-KR-XL","kurta","XL","B08YYRH2Q6","Shipped",1,"INR",499,"LUCKNOW","UTTAR PRADESH","226016.0","IN",FALSE
"406-0272200-7784379","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","SET345","SET345-KR-NP-L","Set","L","B09KXT4VG7","Shipped",1,"INR",666,"CHENNAI","TAMIL NADU","600033.0","IN",FALSE
"403-4367956-2849158","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3787","JNE3787-KR-S","kurta","S","B09RKBXM5B","Shipped",1,"INR",487,"NEW DELHI","DELHI","110092.0","IN",FALSE
"403-4367956-2849158","2022-04-30","Shipped","Amazon","Amazon.in","Expedited","JNE3543","JNE3543-KR-S","kurta","S","B08HHJP41L","Shipped",1,"INR",368,"NEW DELHI","DELHI","110092.0","IN",FALSE
